Layer;Neuron;Weight;Value;
0;0;0;0,111635465485906;
0;0;1;-0,301401527754342;
0;0;2;0,340370813974717;
0;0;3;-0,0280061099468446;
0;0;4;0,18056046712475;
0;0;5;0,48665034533205;
0;0;6;0,207919008424885;
0;0;7;-0,207805443279242;
0;0;8;0,200510213890752;
0;0;9;0,191874721701606;
0;1;0;0,472292440286817;
0;1;1;-0,0333387251634226;
0;1;2;-0,21899373045114;
0;1;3;0,31237050454666;
0;1;4;0,368693686533347;
0;1;5;0,357066813713462;
0;1;6;-0,190503410407066;
0;1;7;-0,292596121261828;
0;1;8;0,043308933009848;
0;1;9;-0,0969021986259812;
0;2;0;0,0170310642708718;
0;2;1;0,0748790125633705;
0;2;2;0,393224576010828;
0;2;3;-0,0128460451381835;
0;2;4;0,103718042753567;
0;2;5;-0,0553746236943196;
0;2;6;-0,0698779438947335;
0;2;7;0,448436038636005;
0;2;8;0,306548197871039;
0;2;9;0,500670206242083;
0;3;0;-0,352702787338541;
0;3;1;-0,185212276614689;
0;3;2;-0,201490505126109;
0;3;3;0,0884710427937691;
0;3;4;-0,286800391644208;
0;3;5;-0,382993910484845;
0;3;6;-0,0379160678581761;
0;3;7;0,325506293224799;
0;3;8;-0,093489555618021;
0;3;9;-0,434625395146458;
0;4;0;-0,391994168290255;
0;4;1;0,0575969194944551;
0;4;2;0,174408950692593;
0;4;3;0,275174852156904;
0;4;4;0,0980603932449139;
0;4;5;-0,146061992950291;
0;4;6;0,304534754502106;
0;4;7;0,367061670371512;
0;4;8;-0,309869098604858;
0;4;9;0,24961751706282;
0;5;0;-0,276499916630676;
0;5;1;0,183676001088673;
0;5;2;-0,235478370052925;
0;5;3;0,0802695998189633;
0;5;4;-0,302978802453661;
0;5;5;-0,123881084758097;
0;5;6;-0,23571793390288;
0;5;7;0,357071031667961;
0;5;8;0,244771329168648;
0;5;9;0,373883031720527;
0;6;0;-0,21943689474703;
0;6;1;-0,161961757653988;
0;6;2;0,44939647765261;
0;6;3;0,0399679764888086;
0;6;4;-0,196975569280241;
0;6;5;0,172719977203619;
0;6;6;-0,292868877335597;
0;6;7;0,223860309802297;
0;6;8;0,199879961877939;
0;6;9;0,481738018401025;
0;7;0;-0,23605939322593;
0;7;1;0,0517559256788757;
0;7;2;-0,149718146967033;
0;7;3;0,222726006875948;
0;7;4;0,214598178631227;
0;7;5;0,266384183016025;
0;7;6;-0,319614055574022;
0;7;7;-0,358357153512461;
0;7;8;0,286246021903573;
0;7;9;0,316033631651805;
0;8;0;-0,273711897943834;
0;8;1;-0,438045982116364;
0;8;2;0,107871580541153;
0;8;3;-0,177348077875402;
0;8;4;0,125854448751035;
0;8;5;0,438161877468161;
0;8;6;-0,440704950868307;
0;8;7;0,0876131714247989;
0;8;8;0,0385775740836319;
0;8;9;-0,219382348290417;
0;9;0;-0,270351547185268;
0;9;1;-0,163279063496006;
0;9;2;-0,09361949037713;
0;9;3;0,306868101213693;
0;9;4;-0,337527366972211;
0;9;5;-0,386336652171824;
0;9;6;-0,240209185299776;
0;9;7;0,208216506477807;
0;9;8;-0,0936401122786994;
0;9;9;-0,317837489208741;
1;0;0;-0,482083868692668;
1;0;1;0,458757845665681;
1;0;2;0,193995958051642;
1;0;3;-0,451141889184314;
1;0;4;-0,421829438731926;
1;0;5;0,199309285124442;
1;0;6;-0,223785440774535;
1;0;7;-0,402527503158212;
1;0;8;-0,0918305910154388;
1;0;9;-0,361695683031201;
1;1;0;0,109885041420294;
1;1;1;0,178740526865581;
1;1;2;0,342948764955135;
1;1;3;0,0323797662427555;
1;1;4;-0,496396108528784;
1;1;5;-0,342528205757275;
1;1;6;-0,303350853642147;
1;1;7;0,253127458390374;
1;1;8;-0,265887364170462;
1;1;9;0,230987768960645;
1;2;0;-0,254043518916724;
1;2;1;-0,0688726210821758;
1;2;2;-0,385407811443046;
1;2;3;0,232301686765767;
1;2;4;-0,490764963901958;
1;2;5;0,1752408024274;
1;2;6;-0,337959608918968;
1;2;7;-0,490164163517842;
1;2;8;-0,109439687621519;
1;2;9;-0,267449906453234;
1;3;0;0,297767168282423;
1;3;1;0,159070092094629;
1;3;2;-0,292621064368925;
1;3;3;0,188235478330513;
1;3;4;0,107017512250234;
1;3;5;-0,377984424996183;
1;3;6;-0,373646116291008;
1;3;7;-0,355362741674931;
1;3;8;0,134461159647657;
1;3;9;-0,35999226656742;
1;4;0;-0,498873824718815;
1;4;1;0,152937548073445;
1;4;2;-0,436987156950397;
1;4;3;-0,204917022820989;
1;4;4;0,27760250157565;
1;4;5;0,0233838909880183;
1;4;6;-0,192407748518702;
1;4;7;-0,169538828390436;
1;4;8;0,431185907652223;
1;4;9;-0,053701637104946;
1;5;0;0,243541435684795;
1;5;1;0,212801364582405;
1;5;2;-0,237131420866182;
1;5;3;0,434265922258732;
1;5;4;-0,154131125497693;
1;5;5;0,1900742490264;
1;5;6;0,100973756798065;
1;5;7;0,435432105760757;
1;5;8;-0,101666427497597;
1;5;9;0,247744004590318;
1;6;0;-0,418412897697842;
1;6;1;0,380973358583159;
1;6;2;-0,316121327139494;
1;6;3;-0,17499916938832;
1;6;4;-0,184631586859297;
1;6;5;0,0504542819924906;
1;6;6;-0,425366428645964;
1;6;7;0,126773574681382;
1;6;8;-0,41052462249553;
1;6;9;-0,403473390687012;
1;7;0;0,00755852763893017;
1;7;1;-0,0699987963633606;
1;7;2;-0,0383453595164909;
1;7;3;0,169288843716164;
1;7;4;0,214152058919031;
1;7;5;0,39763830085175;
1;7;6;0,138656500093013;
1;7;7;0,202243585000859;
1;7;8;-0,439900859231083;
1;7;9;-0,198635814105457;
1;8;0;-0,0837611791602155;
1;8;1;0,415528656409834;
1;8;2;-0,00542242895132977;
1;8;3;-0,074633100803305;
1;8;4;0,172751589991502;
1;8;5;0,27614670050151;
1;8;6;-0,0637203653174082;
1;8;7;0,0436635015270037;
1;8;8;0,1990290538869;
1;8;9;0,241674160930176;
