Layer;Neuron;Weight;Value;
0;0;0;-0,049840152631564;
0;0;1;0,220557604699278;
0;0;2;0,0689496143017454;
0;0;3;-0,385002621529882;
0;0;4;0,0946747042751905;
0;0;5;0,0188053727372525;
0;0;6;-0,343321117713675;
0;0;7;0,212983730609038;
0;0;8;0,00570877218027046;
0;0;9;-0,0256970672325604;
0;1;0;-0,0516312198108803;
0;1;1;0,0869179588282691;
0;1;2;-0,145392196318508;
0;1;3;0,101561161796043;
0;1;4;-0,0744446924349958;
0;1;5;0,17919115236241;
0;1;6;-0,380180382594659;
0;1;7;0,150436219857318;
0;1;8;-0,259451767004111;
0;1;9;-0,165154836750759;
0;2;0;-0,15107191352804;
0;2;1;-0,1031062449258;
0;2;2;0,393059562465828;
0;2;3;0,332627216809568;
0;2;4;0,0929667007092823;
0;2;5;-0,245439684153117;
0;2;6;-0,117162119673456;
0;2;7;0,389399331485145;
0;2;8;-0,108618618731613;
0;2;9;-0,244154417467168;
0;3;0;-0,0607137669386339;
0;3;1;-0,338493547886764;
0;3;2;0,354865890292767;
0;3;3;0,0648431756178129;
0;3;4;-0,211138042880599;
0;3;5;-0,227318234502933;
0;3;6;0,0852534175808997;
0;3;7;0,0975517499932577;
0;3;8;-0,187256367177955;
0;3;9;-0,0695516019487924;
0;4;0;0,0548418341529835;
0;4;1;-0,347507108027779;
0;4;2;0,261000398134754;
0;4;3;-0,193124015140138;
0;4;4;0,060529316791165;
0;4;5;-0,023892423955029;
0;4;6;-0,166306873636007;
0;4;7;-0,00926232653377734;
0;4;8;0,0412782042157159;
0;4;9;0,195713444088224;
0;5;0;-0,275244965734488;
0;5;1;-0,0569991418863403;
0;5;2;-0,247528226256307;
0;5;3;-0,375112644014131;
0;5;4;0,177080614119307;
0;5;5;0,361329456483287;
0;5;6;0,40032134164656;
0;5;7;-0,154137658876052;
0;5;8;0,0809537938938033;
0;5;9;0,107115315526913;
0;6;0;-0,0643285699595962;
0;6;1;-0,232444971766336;
0;6;2;-0,218517121614506;
0;6;3;-0,238369210921207;
0;6;4;0,245443558072456;
0;6;5;-0,0271076154314084;
0;6;6;-0,104289892311304;
0;6;7;0,045206374831226;
0;6;8;0,0538675742458546;
0;6;9;0,0197446666721128;
0;7;0;-0,00473481011788202;
0;7;1;-0,170734519065104;
0;7;2;0,322242208949714;
0;7;3;-0,407937276191749;
0;7;4;-0,139077365268851;
0;7;5;0,149727769982307;
0;7;6;-0,0863083315121039;
0;7;7;0,12323079115139;
0;7;8;-0,117485781606005;
0;7;9;0,171676806117354;
0;8;0;-0,231053855823073;
0;8;1;-0,138671732359331;
0;8;2;-0,106628692772836;
0;8;3;-0,168250673418828;
0;8;4;-0,415617481245323;
0;8;5;0,0203351569451912;
0;8;6;0,269146527216783;
0;8;7;0,2289136667417;
0;8;8;0,0271420865624123;
0;8;9;-0,0809037971947196;
0;9;0;0,0895966529707494;
0;9;1;-0,300736191060671;
0;9;2;0,106178152574725;
0;9;3;-0,386110647681303;
0;9;4;-0,10795279238559;
0;9;5;-0,329384590503905;
0;9;6;-0,135445978670086;
0;9;7;-0,337172621186877;
0;9;8;0,00914672963990076;
0;9;9;0,130616784047482;
1;0;0;0,27821297816849;
1;0;1;0,408690506084212;
1;0;2;0,192102555973503;
1;0;3;0,0594498829727293;
1;0;4;0,232051708610752;
1;0;5;-0,0428841845332106;
1;0;6;-0,283600705109351;
1;0;7;-0,266011102714581;
1;0;8;0,0449512712866773;
1;0;9;-0,0555643649099228;
1;1;0;0,290247549205202;
1;1;1;-0,0324612357804837;
1;1;2;0,096044069666436;
1;1;3;-0,197052683773009;
1;1;4;0,0235629824565551;
1;1;5;-0,0105002438698431;
1;1;6;0,130494962274327;
1;1;7;-0,00276400451677106;
1;1;8;0,172534335019316;
1;1;9;-0,0603117114213816;
1;2;0;-0,0162378950120126;
1;2;1;-0,0340685846908337;
1;2;2;-0,0153877243936936;
1;2;3;-0,159212744403264;
1;2;4;-0,256111454570718;
1;2;5;0,230397484605386;
1;2;6;0,251684986404928;
1;2;7;0,0696085261039476;
1;2;8;-0,0369663918563008;
1;2;9;-0,169426207975217;
1;3;0;-0,127859129862794;
1;3;1;0,196491923973193;
1;3;2;0,0815146563488592;
1;3;3;-0,0842001636439004;
1;3;4;0,419922227002644;
1;3;5;0,212827436725063;
1;3;6;0,281195136383732;
1;3;7;0,227906145261557;
1;3;8;0,0344121586691645;
1;3;9;0,442025662838493;
1;4;0;0,346324943167309;
1;4;1;-0,0087402451358457;
1;4;2;0,0345571772356318;
1;4;3;0,00961356400959823;
1;4;4;0,35923736000398;
1;4;5;-0,00742110633636878;
1;4;6;0,100459477910986;
1;4;7;0,00675207143963874;
1;4;8;-0,0907571451229775;
1;4;9;-0,123735454223927;
1;5;0;0,133077310693021;
1;5;1;0,424928401096225;
1;5;2;0,226171140664337;
1;5;3;0,074837607366423;
1;5;4;-0,108735546985984;
1;5;5;-0,286772729962493;
1;5;6;-0,0139981897147364;
1;5;7;-0,0176960891195089;
1;5;8;-0,0246572548172703;
1;5;9;-0,018597973053622;
1;6;0;0,436997691605705;
1;6;1;0,0953978940823106;
1;6;2;-0,100447854306757;
1;6;3;-0,278567340121869;
1;6;4;0,107763146100456;
1;6;5;0,0695775291275128;
1;6;6;-0,0823324744507356;
1;6;7;-0,283959140900503;
1;6;8;0,444628189757759;
1;6;9;0,405276129909454;
1;7;0;0,157937186843686;
1;7;1;-0,380393527858143;
1;7;2;-0,00664747925784787;
1;7;3;0,306230078361104;
1;7;4;0,234274981419684;
1;7;5;-0,128839875398595;
1;7;6;0,259106092741297;
1;7;7;-0,0308509518070384;
1;7;8;-0,0437184632959396;
1;7;9;-0,0786690628522397;
1;8;0;-0,0401208356675323;
1;8;1;0,0634146132801728;
1;8;2;0,156586255252634;
1;8;3;0,189628695691763;
1;8;4;-0,154915380363779;
1;8;5;-0,178437016288953;
1;8;6;0,0679678663462251;
1;8;7;0,241904334976293;
1;8;8;0,0521082477886734;
1;8;9;-0,0333170823442363;
1;9;0;0,242222897355549;
1;9;1;0,0542620632584496;
1;9;2;0,439159283153321;
1;9;3;0,110061418316356;
1;9;4;0,137804700125849;
1;9;5;-0,115184252436824;
1;9;6;0,0308819487834731;
1;9;7;0,0890845458903744;
1;9;8;-0,306798004222474;
1;9;9;-0,0683636439816857;
