Layer;Neuron;Weight;Value;
0;0;0;0,236390321989064;
0;0;1;-0,0997734667774086;
0;0;2;0,0424320401430792;
0;0;3;0,101602511778578;
0;0;4;0,139685503371103;
0;0;5;0,142369476296302;
0;0;6;0,171378116885173;
0;0;7;0,0333625538936456;
0;0;8;0,030960596776953;
0;0;9;0,0316443160887987;
0;1;0;0,242249684106025;
0;1;1;0,0598633363367003;
0;1;2;0,136167603557578;
0;1;3;-0,175011476143191;
0;1;4;0,034493722919238;
0;1;5;0,127181771462589;
0;1;6;0,0190440841481255;
0;1;7;-0,387215634333206;
0;1;8;0,266141627697612;
0;1;9;0,0838729106725443;
0;2;0;-0,186598593493645;
0;2;1;-0,075567413788142;
0;2;2;0,22324695945685;
0;2;3;-0,0331893369185127;
0;2;4;-0,288965973643804;
0;2;5;0,0860770317594335;
0;2;6;0,138608521874142;
0;2;7;0,104815242093837;
0;2;8;0,108011668387388;
0;2;9;-0,153323423008736;
0;3;0;-0,0278016278958971;
0;3;1;0,0344652693066042;
0;3;2;-0,166548012831297;
0;3;3;0,127710748788204;
0;3;4;0,0601366692598296;
0;3;5;0,258216592899884;
0;3;6;-0,217993606399617;
0;3;7;0,144543911926165;
0;3;8;0,195325256104179;
0;3;9;0,198504193840798;
0;4;0;-0,105795797114218;
0;4;1;0,157556907322769;
0;4;2;0,0148523015201609;
0;4;3;-0,189645419183018;
0;4;4;-0,146471057546062;
0;4;5;0,317358934185175;
0;4;6;-0,067318591189839;
0;4;7;0,209621868896517;
0;4;8;0,343887138878494;
0;4;9;-0,104614383033927;
0;5;0;-0,069108225021622;
0;5;1;-0,0886447916408266;
0;5;2;-0,0522550772714119;
0;5;3;0,108689397577051;
0;5;4;-0,285431179675098;
0;5;5;0,141713169386881;
0;5;6;0,0732192326630689;
0;5;7;-0,366768416747151;
0;5;8;-0,156203828978153;
0;5;9;0,236501983457937;
0;6;0;0,347711078548775;
0;6;1;0,0763266459931629;
0;6;2;0,0831288111090675;
0;6;3;0,248614999942934;
0;6;4;-0,126538690577589;
0;6;5;0,101161698409339;
0;6;6;0,199849932230852;
0;6;7;-0,103082313333606;
0;6;8;-0,146998765711137;
0;6;9;0,0957892280952532;
0;7;0;-0,046389664707737;
0;7;1;0,199873129170947;
0;7;2;-0,114198039121473;
0;7;3;0,168464969032349;
0;7;4;-0,106202583908978;
0;7;5;0,013316967968777;
0;7;6;-0,175258348517078;
0;7;7;0,145817779187382;
0;7;8;-0,0706682861121138;
0;7;9;-0,0577256373435746;
0;8;0;0,0423399529832066;
0;8;1;0,127232853383693;
0;8;2;0,225376743034946;
0;8;3;0,264074217089297;
0;8;4;0,152120070877288;
0;8;5;0,131623125212435;
0;8;6;-0,173041545598785;
0;8;7;0,0440150347281644;
0;8;8;0,160465273483038;
0;8;9;0,164369837675783;
0;9;0;0,130649589538852;
0;9;1;0,034405777369511;
0;9;2;-0,0466151299690349;
0;9;3;-0,0652734175978734;
0;9;4;-0,191872555938848;
0;9;5;-0,0111991115659706;
0;9;6;-0,151842871698794;
0;9;7;-0,00687762352752505;
0;9;8;0,0115674370333963;
0;9;9;-0,180759660092907;
1;0;0;-0,279540970469611;
1;0;1;-0,0343869717486142;
1;0;2;-0,0321419843389383;
1;0;3;0,158277102470527;
1;0;4;0,286884441639709;
1;0;5;-0,248098279930697;
1;0;6;0,264750710229739;
1;0;7;0,0522880085288957;
1;0;8;0,418814443712502;
1;0;9;0,099781039566631;
1;1;0;-0,0447559788798709;
1;1;1;0,0423657233092774;
1;1;2;-0,406478920791521;
1;1;3;-0,0765523070360312;
1;1;4;0,222513012575224;
1;1;5;-0,350366667541846;
1;1;6;0,0910648832056042;
1;1;7;0,111715049069242;
1;1;8;0,0286328178032454;
1;1;9;0,321120290468037;
1;2;0;0,0550897300965571;
1;2;1;0,0550562185491697;
1;2;2;-0,191451585009439;
1;2;3;0,310908034122972;
1;2;4;0,113418888935549;
1;2;5;0,011255776514884;
1;2;6;-0,248872987925482;
1;2;7;-0,184507330849072;
1;2;8;0,0583671459734287;
1;2;9;0,210594830783361;
1;3;0;-0,0919876967519464;
1;3;1;-0,00751819194178946;
1;3;2;-0,130151644176874;
1;3;3;-0,32587167822098;
1;3;4;0,0580595907792727;
1;3;5;-0,0957977761727748;
1;3;6;0,194361256409605;
1;3;7;-0,357209932108973;
1;3;8;0,268525534783735;
1;3;9;0,0249304594588142;
1;4;0;-0,00711411075066501;
1;4;1;0,373691314074067;
1;4;2;-0,261854127404212;
1;4;3;-0,215618029337198;
1;4;4;-0,025525032205286;
1;4;5;-0,0529806516379959;
1;4;6;-0,099806971778072;
1;4;7;-0,0688374630728911;
1;4;8;0,164599855623487;
1;4;9;0,267567015843264;
1;5;0;0,0459025334780582;
1;5;1;0,160523298154829;
1;5;2;0,162801797111892;
1;5;3;-0,150271312520034;
1;5;4;-0,0240235924832633;
1;5;5;-0,361517168866246;
1;5;6;0,253494933714855;
1;5;7;0,0511609964543772;
1;5;8;0,103321774561574;
1;5;9;0,0414138935932023;
1;6;0;-0,0403465656751518;
1;6;1;-0,365646579938776;
1;6;2;0,101039271150268;
1;6;3;0,0535993371408429;
1;6;4;0,0483846907962042;
1;6;5;0,0915737416788814;
1;6;6;0,186862659378379;
1;6;7;0,167353792659637;
1;6;8;-0,114157250087781;
1;6;9;0,0525947556843026;
1;7;0;0,014128435176857;
1;7;1;-0,187829670700165;
1;7;2;-0,0651428990835058;
1;7;3;0,0727621615271839;
1;7;4;-0,170963081727253;
1;7;5;0,03678080872017;
1;7;6;0,304107663712514;
1;7;7;-0,0847003590709997;
1;7;8;-0,12279539095368;
1;7;9;0,295994975159874;
1;8;0;0,0533994232785885;
1;8;1;-0,0534207254198476;
1;8;2;0,209325057668297;
1;8;3;0,0113265246671282;
1;8;4;-0,041669096700693;
1;8;5;-0,0717741836895115;
1;8;6;0,0558784252758503;
1;8;7;-0,110704865823828;
1;8;8;-0,0326354616706425;
1;8;9;-0,0783913151027594;
1;9;0;0,163828279550107;
1;9;1;0,164037879749219;
1;9;2;-0,146207547465436;
1;9;3;0,183342699512533;
1;9;4;-0,079124369346129;
1;9;5;-0,1013653424342;
1;9;6;-0,191380713456953;
1;9;7;-0,00570012245127005;
1;9;8;-0,00275393703615012;
1;9;9;0,131724265931046;
