Layer;Neuron;Weight;Value;
0;0;0;0,122788771545662;
0;0;1;-0,312028015206766;
0;0;2;-0,263881931953886;
0;0;3;-0,343699867538674;
0;0;4;-0,00553396115358585;
0;0;5;-0,336660317412919;
0;0;6;-0,25919666157042;
0;0;7;0,279726950879621;
0;0;8;-0,084831288865443;
0;0;9;0,343114444412773;
0;1;0;0,363978646759557;
0;1;1;-0,312988142484537;
0;1;2;0,195770666260812;
0;1;3;0,321619405206352;
0;1;4;0,374440274357913;
0;1;5;-0,183506405205315;
0;1;6;-0,100673410479568;
0;1;7;0,0763551489702868;
0;1;8;0,304473784446604;
0;1;9;-0,239554267941765;
0;2;0;0,339550673349999;
0;2;1;-0,412932702782865;
0;2;2;0,0712943376227306;
0;2;3;0,524018132938852;
0;2;4;0,0381587279807453;
0;2;5;-0,060050496909395;
0;2;6;0,253797065988647;
0;2;7;0,31764457516069;
0;2;8;0,0935703828670991;
0;2;9;-0,17267018877467;
0;3;0;0,299315385929636;
0;3;1;0,272486691850625;
0;3;2;-0,181579166942051;
0;3;3;-0,238659023430956;
0;3;4;-0,221086977316492;
0;3;5;0,113191291481523;
0;3;6;-0,390693865505123;
0;3;7;0,393474722311467;
0;3;8;-0,115413672212493;
0;3;9;-0,0784063184195307;
0;4;0;0,35414970342324;
0;4;1;0,270758971927007;
0;4;2;-0,134224953785363;
0;4;3;-0,116048607986675;
0;4;4;0,21219191456383;
0;4;5;0,0699181955370327;
0;4;6;-0,267657680916876;
0;4;7;-0,0274359323335256;
0;4;8;0,293675068628174;
0;4;9;0,232237486537186;
0;5;0;0,384793455970807;
0;5;1;-0,296849695030917;
0;5;2;-0,543096056097624;
0;5;3;-0,0561999613625145;
0;5;4;-0,007702081156627;
0;5;5;-0,0089867118268065;
0;5;6;0,221324350506716;
0;5;7;-0,398875932930276;
0;5;8;0,0897186120678677;
0;5;9;-0,12371451648067;
0;6;0;-0,0587847315184173;
0;6;1;-0,243166998135635;
0;6;2;0,393394691858951;
0;6;3;0,126559657815708;
0;6;4;0,251177192152909;
0;6;5;-0,434154127303894;
0;6;6;0,211049505317609;
0;6;7;0,0590453349177078;
0;6;8;0,392803811452586;
0;6;9;0,291605185388502;
0;7;0;0,25491047742184;
0;7;1;-0,20295954420012;
0;7;2;0,323545966380017;
0;7;3;0,115785173268824;
0;7;4;-0,355519410218289;
0;7;5;0,251358963485131;
0;7;6;-0,31513487186525;
0;7;7;0,0383859371748712;
0;7;8;-0,380656944458048;
0;7;9;0,0748943476145174;
0;8;0;0,270929045324959;
0;8;1;0,403418961002194;
0;8;2;-0,377753647632229;
0;8;3;-0,254909588948958;
0;8;4;0,237528583716956;
0;8;5;-0,297433521603408;
0;8;6;0,0359455180587115;
0;8;7;-0,187664209318266;
0;8;8;-0,238295069393518;
0;8;9;0,272071541065013;
0;9;0;-0,257631973259075;
0;9;1;-0,181635885654561;
0;9;2;-0,324857685983582;
0;9;3;-0,0338031637840462;
0;9;4;-0,419155446507023;
0;9;5;0,263983809957176;
0;9;6;-0,23886072797379;
0;9;7;0,225263752225279;
0;9;8;-0,283359152500025;
0;9;9;0,252129453835084;
1;0;0;-0,0898319518146254;
1;0;1;-0,242530754647465;
1;0;2;-0,316041103012879;
1;0;3;-0,0592149093557219;
1;0;4;-0,445366256379227;
1;0;5;0,321095608091492;
1;0;6;-0,37307637924006;
1;0;7;-0,119735493613284;
1;0;8;-0,434655130810409;
1;0;9;-0,317604469981792;
1;1;0;0,393049374172953;
1;1;1;0,379252327084193;
1;1;2;-0,455750476082671;
1;1;3;0,0491114056432207;
1;1;4;0,163023042335651;
1;1;5;-0,425073517917224;
1;1;6;0,0813657630148185;
1;1;7;-0,0514240914729536;
1;1;8;-0,198327488591116;
1;1;9;0,382109508794783;
1;2;0;-0,173831697401512;
1;2;1;-0,292532727491359;
1;2;2;-0,36444972635454;
1;2;3;-0,405689441555035;
1;2;4;-0,399058507708394;
1;2;5;0,435958729095738;
1;2;6;-0,30828312822072;
1;2;7;-0,14006067516285;
1;2;8;0,269574783169466;
1;2;9;0,220251753330348;
1;3;0;0,222085666713345;
1;3;1;0,290370145715014;
1;3;2;-0,221642317120751;
1;3;3;-0,176883901318947;
1;3;4;0,0609550571818627;
1;3;5;-0,412842642475312;
1;3;6;0,284070400420609;
1;3;7;-0,204236087251565;
1;3;8;-0,0568786787599692;
1;3;9;-0,00663972203928964;
1;4;0;-0,138632385823239;
1;4;1;0,348909885086543;
1;4;2;0,126236192708014;
1;4;3;-0,090758201009947;
1;4;4;0,381948259604139;
1;4;5;0,394970705218134;
1;4;6;-0,464285744803159;
1;4;7;-0,162660369026782;
1;4;8;-0,475407364301108;
1;4;9;0,112228449253472;
1;5;0;-0,205603648305686;
1;5;1;0,431300942754047;
1;5;2;0,47649162447848;
1;5;3;-0,194765183001182;
1;5;4;0,460323185175808;
1;5;5;0,220154115799886;
1;5;6;-0,309035108335798;
1;5;7;-0,311452365392564;
1;5;8;0,205405544352441;
1;5;9;-0,0871792531512581;
1;6;0;-0,369839304997511;
1;6;1;-0,342833339629152;
1;6;2;-0,246120621797685;
1;6;3;-0,229246277236029;
1;6;4;-0,160093056345402;
1;6;5;0,0139714249009133;
1;6;6;-0,0057915945098696;
1;6;7;0,164505508106437;
1;6;8;-0,494091401339551;
1;6;9;-0,0610118124452474;
1;7;0;0,368345117600795;
1;7;1;0,34609965833188;
1;7;2;-0,213359611441083;
1;7;3;-0,0319256342630487;
1;7;4;0,191699693301553;
1;7;5;-0,445989530508402;
1;7;6;-0,203253833438854;
1;7;7;-0,175774930359691;
1;7;8;-0,0677648478037514;
1;7;9;0,195659117631455;
1;8;0;-0,430507063833301;
1;8;1;-0,00402620597929981;
1;8;2;-0,152943259874798;
1;8;3;-0,153375525797426;
1;8;4;-0,244279759816956;
1;8;5;-0,37316582765112;
1;8;6;-0,436083715379277;
1;8;7;-0,395200978915766;
1;8;8;-0,245426313367405;
1;8;9;0,28795473360827;
1;9;0;0,239321574913022;
1;9;1;0,218749190084054;
1;9;2;-0,0309304676628348;
1;9;3;-0,344637579212262;
1;9;4;0,111194536840168;
1;9;5;0,0550637615635357;
1;9;6;0,0217428302959273;
1;9;7;0,343131225483088;
1;9;8;-0,139912872407545;
1;9;9;0,106319850593023;
