Layer;Neuron;Weight;Value;
0;0;0;0,0269573472203361;
0;0;1;0,140883527529707;
0;0;2;-0,188071136363744;
0;0;3;0,148706308817638;
0;0;4;0,0354610396036768;
0;0;5;0,0697710907193448;
0;0;6;-0,286862386142824;
0;0;7;0,12520096323947;
0;0;8;0,174815548748388;
0;0;9;0,175470812723822;
0;1;0;-0,0659536661324277;
0;1;1;0,00799561644578426;
0;1;2;0,118362955122455;
0;1;3;-0,146365933323883;
0;1;4;-0,194438818122109;
0;1;5;-0,177373785421828;
0;1;6;0,0222978931956095;
0;1;7;-0,162517828492913;
0;1;8;0,0645265552789268;
0;1;9;0,190648517640692;
0;2;0;-0,0905152218402455;
0;2;1;0,0252869452465845;
0;2;2;0,0802766743635459;
0;2;3;0,099341863025268;
0;2;4;-0,0858321464937923;
0;2;5;-0,0767208975795754;
0;2;6;-0,102542550902617;
0;2;7;-0,0580504463675089;
0;2;8;-0,208916868724495;
0;2;9;0,203883708632249;
0;3;0;-0,259689811360856;
0;3;1;0,286057719480595;
0;3;2;-0,037709483643642;
0;3;3;0,177858838229958;
0;3;4;-0,150431542481828;
0;3;5;-0,00135150247344477;
0;3;6;-0,056520031586628;
0;3;7;0,0592668724778842;
0;3;8;0,160180300987617;
0;3;9;0,268818161350215;
0;4;0;-0,0278433300019989;
0;4;1;-0,237645924967339;
0;4;2;0,0741086436619605;
0;4;3;-0,203878404755488;
0;4;4;0,226104874936265;
0;4;5;-0,173863548136411;
0;4;6;0,0788377596807171;
0;4;7;0,118367774202776;
0;4;8;0,034260441887822;
0;4;9;0,0406396002922674;
0;5;0;-0,0291814562107294;
0;5;1;-0,0739136690184316;
0;5;2;-0,032684762340676;
0;5;3;-0,186445856702274;
0;5;4;-0,0721153414871728;
0;5;5;0,148521412558943;
0;5;6;0,0811817727012912;
0;5;7;-0,231863683506674;
0;5;8;0,00912852043045315;
0;5;9;-0,173941232504653;
0;6;0;0,0173066685797191;
0;6;1;-0,149932232086304;
0;6;2;0,172925282392142;
0;6;3;0,134815423915488;
0;6;4;-0,12207232269862;
0;6;5;0,0389696280385264;
0;6;6;-0,147688781749665;
0;6;7;0,302704806193558;
0;6;8;0,0802886784547389;
0;6;9;0,151617127131053;
0;7;0;0,0395404268727163;
0;7;1;0,0587689056442917;
0;7;2;-0,146848029407123;
0;7;3;-0,400547918403389;
0;7;4;0,323137252643547;
0;7;5;-0,0556555611313636;
0;7;6;0,0634427098927589;
0;7;7;0,0881772720718373;
0;7;8;-0,0395037773361911;
0;7;9;0,184829047795663;
0;8;0;-0,00123346714213372;
0;8;1;0,0943619215627113;
0;8;2;0,148166442642422;
0;8;3;0,0116912454380527;
0;8;4;0,198899654828768;
0;8;5;0,0967330920162253;
0;8;6;0,258892572361568;
0;8;7;-0,0224898535166647;
0;8;8;0,187757506822009;
0;8;9;0,101641903786614;
0;9;0;0,220438384337541;
0;9;1;-0,0867266062162938;
0;9;2;-0,0115588138174553;
0;9;3;0,0131114890188905;
0;9;4;0,0593342951287888;
0;9;5;-0,253193128161208;
0;9;6;0,00475298615747935;
0;9;7;0,284126938891062;
0;9;8;0,164472404390072;
0;9;9;-0,026432524860062;
1;0;0;-0,0199931236077068;
1;0;1;0,432022620775747;
1;0;2;0,0928234553862472;
1;0;3;0,143171357523264;
1;0;4;0,0353285115143882;
1;0;5;0,207479935119618;
1;0;6;-0,0313433646370393;
1;0;7;0,200589056918672;
1;0;8;-0,192472329103608;
1;0;9;0,207791472299859;
1;1;0;0,0139624181967054;
1;1;1;-0,065944836854909;
1;1;2;-0,329734222418505;
1;1;3;0,139176229429048;
1;1;4;-0,129178281235126;
1;1;5;-0,0522646140550564;
1;1;6;0,075518382515534;
1;1;7;-0,0285679676004536;
1;1;8;-0,103226092459274;
1;1;9;-0,187253063981073;
1;2;0;0,0828497829301515;
1;2;1;-0,152750737104914;
1;2;2;0,175907243357928;
1;2;3;-0,200479569356181;
1;2;4;0,115301399661834;
1;2;5;-0,203841404036545;
1;2;6;-0,224730261007664;
1;2;7;0,0163607540383752;
1;2;8;-0,154375720841054;
1;2;9;0,0232173694638616;
1;3;0;-0,345950479896716;
1;3;1;-0,0483635168282145;
1;3;2;-0,317159205822814;
1;3;3;0,0228007531365383;
1;3;4;-0,0779597720028645;
1;3;5;-0,23088319330983;
1;3;6;0,114179974009367;
1;3;7;0,12337708921329;
1;3;8;0,0281331982827434;
1;3;9;-0,159494818844597;
1;4;0;0,143530078997617;
1;4;1;0,132168498650272;
1;4;2;0,101029226719881;
1;4;3;-0,154882222835385;
1;4;4;0,0527435424983238;
1;4;5;0,242144000712849;
1;4;6;-0,0751403888338899;
1;4;7;0,181474371664913;
1;4;8;-0,035701097355085;
1;4;9;0,117586779695743;
1;5;0;0,0786867904610405;
1;5;1;-0,150827162154404;
1;5;2;0,245574192491162;
1;5;3;0,217264114165336;
1;5;4;-0,264191919129431;
1;5;5;-0,157821464542216;
