Layer;Neuron;Weight;Value;
0;0;0;0,181243241570826;
0;0;1;-0,264699350236421;
0;0;2;-0,136636901492391;
0;0;3;0,202875871937503;
0;0;4;0,0580867339379031;
0;0;5;-0,218724106627402;
0;0;6;-0,394560532565201;
0;0;7;0,0329423553530245;
0;0;8;0,110657450230065;
0;0;9;0,323982034331513;
0;1;0;-0,0181683088935497;
0;1;1;-0,0828779522365794;
0;1;2;-0,254873120645185;
0;1;3;-0,120055754530367;
0;1;4;-0,0313305391225272;
0;1;5;-0,00228554812123977;
0;1;6;-0,031029999654066;
0;1;7;-0,0754192967509823;
0;1;8;0,358093981672992;
0;1;9;0,37082330750448;
0;2;0;-0,0986099699035145;
0;2;1;-0,0268036461649929;
0;2;2;0,00196230155174179;
0;2;3;0,255638553712846;
0;2;4;-0,103541106777149;
0;2;5;-0,165359575527729;
0;2;6;-0,112635454589648;
0;2;7;-0,187682439225354;
0;2;8;0,119992980665342;
0;2;9;-0,0725632628330397;
0;3;0;0,0756779334005122;
0;3;1;0,293067747500572;
0;3;2;0,27610291685319;
0;3;3;-0,211849543213871;
0;3;4;-0,0189684290045523;
0;3;5;-0,162997769807588;
0;3;6;0,110496832757211;
0;3;7;-0,0791293670324185;
0;3;8;0,392889132144756;
0;3;9;-0,059866023624508;
0;4;0;-0,229439567976272;
0;4;1;-0,262685660700073;
0;4;2;0,189947234958317;
0;4;3;-0,0982370680031353;
0;4;4;0,0580979180049721;
0;4;5;-0,243735078469068;
0;4;6;0,0989965722272741;
0;4;7;0,367247706623284;
0;4;8;-0,206145863902567;
0;4;9;0,0406194332767787;
0;5;0;-0,0348986784334682;
0;5;1;-0,0896522040246082;
0;5;2;-0,0219675869961077;
0;5;3;0,131079966382253;
0;5;4;-0,193960326650466;
0;5;5;-0,150432580843154;
0;5;6;0,302815720434936;
0;5;7;-0,380880684157893;
0;5;8;-0,231284673079684;
0;5;9;-0,357162337422408;
0;6;0;0,254972892162398;
0;6;1;0,346462828720144;
0;6;2;-0,136750162658195;
0;6;3;0,0496576514227937;
0;6;4;0,171602538709469;
0;6;5;0,0822192899661787;
0;6;6;0,163029457820686;
0;6;7;-0,186853948607239;
0;6;8;-0,0117089892493412;
0;6;9;0,00700277471626803;
0;7;0;-0,049087186022367;
0;7;1;0,157537633459785;
0;7;2;0,284901243435009;
0;7;3;-0,371710983509217;
0;7;4;0,0239766600249737;
0;7;5;0,251260403677138;
0;7;6;-0,298685317101351;
0;7;7;-0,264363016144443;
0;7;8;0,197551457933452;
0;7;9;0,123767568750837;
0;8;0;0,152317795981595;
0;8;1;-0,0725354931567292;
0;8;2;-0,0571111190015003;
0;8;3;0,3006542498304;
0;8;4;-0,154268620110466;
0;8;5;0,00244257478134371;
0;8;6;-0,235835254169187;
0;8;7;0,112841354217178;
0;8;8;0,318706748943028;
0;8;9;0,150048230033638;
0;9;0;-0,0604428187249207;
0;9;1;-0,0324783512999583;
0;9;2;-0,133138734368987;
0;9;3;-0,00845038779882518;
0;9;4;-0,427883496062491;
0;9;5;-0,0209786259825041;
0;9;6;0,0617754587812427;
0;9;7;0,188165436059126;
0;9;8;-0,0103265183485696;
0;9;9;-0,0191109019631874;
1;0;0;-0,239423653688013;
1;0;1;-0,0197892778179559;
1;0;2;-0,15613826185285;
1;0;3;-0,00585031882200868;
1;0;4;-0,0281880188398939;
1;0;5;0,0950574786844931;
1;0;6;-0,0690817954340399;
1;0;7;-0,0526410101692383;
1;0;8;0,384303136907659;
1;0;9;0,0519536095913283;
1;1;0;0,230126559375844;
1;1;1;0,0607236386559548;
1;1;2;0,124011593695735;
1;1;3;-0,166189036176628;
1;1;4;0,0998597892931941;
1;1;5;-0,231646128805189;
1;1;6;-0,191119471188225;
1;1;7;-0,372366741473026;
1;1;8;-0,129642961141487;
1;1;9;-0,0416945466034555;
1;2;0;-0,377692982497482;
1;2;1;-0,0253018215416473;
1;2;2;0,0783502636842198;
1;2;3;-0,045791262549251;
1;2;4;0,286388643684978;
1;2;5;0,0598158235940224;
1;2;6;-0,150783045520439;
1;2;7;-0,176999394398648;
1;2;8;-0,239291110420269;
1;2;9;-0,250704824342721;
1;3;0;0,182640517914035;
1;3;1;-0,0704669123843624;
1;3;2;-0,0780339544071043;
1;3;3;0,0103116601287907;
1;3;4;0,0712693375867183;
1;3;5;-0,0736760755878296;
1;3;6;0,244903434647668;
1;3;7;-0,0837849588523548;
1;3;8;0,0641481967475955;
1;3;9;0,0756095534076959;
1;4;0;-0,00990534690669989;
1;4;1;-0,155527395268682;
1;4;2;0,0253449888086622;
1;4;3;-0,219270296496931;
1;4;4;0,319968815809101;
1;4;5;-0,230231460523899;
1;4;6;-0,147741615841045;
1;4;7;-0,242137075514596;
1;4;8;0,100801959447936;
1;4;9;0,410064048324741;
1;5;0;0,426379093400379;
1;5;1;-0,142096295320474;
1;5;2;-0,130836440311203;
1;5;3;-0,0842005825062285;
1;5;4;0,0176032437093571;
1;5;5;-0,191331165000485;
1;5;6;0,371102380971938;
1;5;7;-0,401857964648799;
1;5;8;0,0613025313063071;
1;5;9;0,291244720011598;
1;6;0;0,14979899472082;
1;6;1;0,37808312074192;
1;6;2;0,194478506080098;
1;6;3;-0,0881550817695237;
1;6;4;-0,410451870835597;
1;6;5;-0,302915466391908;
1;6;6;-0,117443395600395;
1;6;7;-0,117270176120694;
1;6;8;-0,0458580022891322;
1;6;9;-0,105842743351051;
1;7;0;0,10467782714622;
1;7;1;-0,0153964746349474;
1;7;2;0,233877658952902;
1;7;3;-0,0711362513579132;
1;7;4;0,00565894018190863;
1;7;5;0,239847007784921;
1;7;6;0,0794484150034601;
1;7;7;-0,0292577785576031;
1;7;8;0,002845965094327;
1;7;9;-0,351506783790657;
1;8;0;-0,0659475568989048;
1;8;1;0,00315399421525839;
1;8;2;-0,435937659086631;
1;8;3;0,141148100439994;
1;8;4;-0,344530079907053;
1;8;5;-0,0912793192971867;
1;8;6;-0,0637654003518472;
1;8;7;0,0451126601757075;
1;8;8;-0,0339938386036055;
1;8;9;0,0143070221013888;
1;9;0;0,0461551675322257;
1;9;1;0,194673610010498;
1;9;2;-0,352738131933258;
1;9;3;0,0862511974229715;
1;9;4;-0,091876102421375;
1;9;5;0,180220410311697;
1;9;6;0,155173850550863;
1;9;7;-0,124693679914201;
1;9;8;0,21807213556863;
1;9;9;-0,0440779493861263;
