Layer;Neuron;Weight;Value;
0;0;0;-0,421629408067406;
0;0;1;-0,0118418239829501;
0;0;2;0,0396552355744409;
0;0;3;-0,0685389209505183;
0;0;4;-0,224641335459087;
0;0;5;0,112430176803784;
0;0;6;0,0172990499662145;
0;0;7;-0,0357933363428307;
0;0;8;0,00903533956448221;
0;0;9;0,0552138290895567;
0;1;0;-0,148219270187779;
0;1;1;-0,0803551461962936;
0;1;2;-0,348353390324402;
0;1;3;-0,163928033435864;
0;1;4;0,100594337493199;
0;1;5;0,0358708929986027;
0;1;6;-0,0588670215961519;
0;1;7;-0,139642634723961;
0;1;8;0,212073794435608;
0;1;9;-0,100589527282318;
0;2;0;0,215635110975863;
0;2;1;0,290386860021045;
0;2;2;0,213288740273594;
0;2;3;-0,199425771077836;
0;2;4;-0,252037718803407;
0;2;5;-0,35541261369965;
0;2;6;0,0590378790722146;
0;2;7;-0,178931833193527;
0;2;8;0,163180704231715;
0;2;9;-0,0866402563648011;
0;3;0;-0,168688606344045;
0;3;1;0,147784916347654;
0;3;2;-0,227292909538654;
0;3;3;0,290032541361932;
0;3;4;0,0511027850180256;
0;3;5;0,0567416210915121;
0;3;6;0,228268725197858;
0;3;7;0,036519438312994;
0;3;8;0,237429653284667;
0;3;9;0,259106222424234;
0;4;0;0,207065492379854;
0;4;1;0,0135696497445461;
0;4;2;0,122964647929469;
0;4;3;-0,0501086801578178;
0;4;4;0,262908282943309;
0;4;5;-0,0346613246478752;
0;4;6;0,23589568936941;
0;4;7;0,138474939277015;
0;4;8;0,0842780517978555;
0;4;9;0,198749376604755;
0;5;0;-0,290202719585988;
0;5;1;-0,198633886925445;
0;5;2;0,231163916249142;
0;5;3;0,196743317040828;
0;5;4;-0,0208269521950881;
0;5;5;-0,0975820333445698;
0;5;6;-0,080294950389379;
0;5;7;-0,076343014291525;
0;5;8;-0,253197137689854;
0;5;9;0,363209551012846;
0;6;0;0,135847108025929;
0;6;1;0,0636869891195747;
0;6;2;-0,107687081134327;
0;6;3;0,103735554134355;
0;6;4;-0,184067342444151;
0;6;5;0,00397214714570621;
0;6;6;-0,096826043204135;
0;6;7;0,0203121956995518;
0;6;8;0,217726645730173;
0;6;9;0,0934748186275951;
0;7;0;0,0682184950955902;
0;7;1;0,0249239144432701;
0;7;2;-0,330563633392174;
0;7;3;0,138709559410585;
0;7;4;-0,210576827061318;
0;7;5;-0,245456466634933;
0;7;6;0,111679112815336;
0;7;7;-0,0241183106851742;
0;7;8;0,00190743070889274;
0;7;9;-0,20219185916679;
0;8;0;-0,110710252909319;
0;8;1;0,00800527160437605;
0;8;2;-0,02647860982456;
0;8;3;0,0683324667644409;
0;8;4;0,369042103528867;
0;8;5;0,0995396567604727;
0;8;6;0,394454240912347;
0;8;7;0,128972796532851;
0;8;8;-0,114028426322537;
0;8;9;0,0594363362349012;
0;9;0;-0,00061700538976231;
0;9;1;-0,113502776784287;
0;9;2;0,106150332268466;
0;9;3;0,0469825247617622;
0;9;4;0,240640795586434;
0;9;5;0,143130948956438;
0;9;6;0,31843879292715;
0;9;7;0,276798895907224;
0;9;8;0,0873117497159271;
0;9;9;-0,45371825326509;
1;0;0;0,0119966573603436;
1;0;1;-0,248484270530047;
1;0;2;0,401762639825122;
1;0;3;0,00463180477015293;
1;0;4;0,0865183324024632;
1;0;5;0,167264579407528;
1;0;6;0,142376250188042;
1;0;7;-0,305108849799777;
1;0;8;0,107614553117945;
1;0;9;0,447569863147833;
1;1;0;-0,363385779486683;
1;1;1;-0,11078009410332;
1;1;2;0,0146861337193689;
1;1;3;0,0234240584650189;
1;1;4;-0,174625344190106;
1;1;5;-0,44345934313883;
1;1;6;-0,0936618154373308;
1;1;7;0,0686505833029051;
1;1;8;-0,170423033493768;
1;1;9;-0,081120719006807;
1;2;0;-0,115026455658966;
1;2;1;-0,000550054246815895;
1;2;2;-0,13858059497484;
1;2;3;0,103145851801683;
1;2;4;0,0665437495645805;
1;2;5;0,109689635275719;
1;2;6;-0,140480177775249;
1;2;7;-0,0139938925923751;
1;2;8;-0,25215678813502;
1;2;9;0,0767508421916286;
1;3;0;-0,00463798386260772;
1;3;1;0,220676809186431;
1;3;2;0,0596154313812104;
1;3;3;-0,273838034725673;
1;3;4;-0,175183130742602;
1;3;5;-0,162669025437287;
1;3;6;-0,174660696729394;
1;3;7;-0,15502812487773;
1;3;8;-0,186973198171227;
1;3;9;0,07902254284314;
1;4;0;0,201619156264523;
1;4;1;-0,0598079054894894;
1;4;2;0,0657278255399912;
1;4;3;-0,0995487375648453;
1;4;4;-0,00153066334385918;
1;4;5;0,0502812762513204;
1;4;6;0,268276767930145;
1;4;7;0,254061947695008;
1;4;8;-0,0853057320161283;
1;4;9;-0,0580628491277168;
1;5;0;0,221394175999516;
1;5;1;0,366542185128919;
1;5;2;-0,0976873059280623;
1;5;3;0,143212399744993;
1;5;4;-0,0166275193992199;
1;5;5;0,100720829842948;
1;5;6;0,032686614912323;
1;5;7;0,335371327975472;
1;5;8;0,12160844571032;
1;5;9;0,199726651282854;
1;6;0;0,293014882967349;
1;6;1;-0,106142110240712;
1;6;2;-0,205990675467062;
1;6;3;-0,0361913729161915;
1;6;4;-0,400787309464434;
1;6;5;0,231723787603771;
1;6;6;0,0690072099999558;
1;6;7;-0,256688719967701;
1;6;8;-0,0153949086160375;
1;6;9;0,10585247916442;
1;7;0;-0,133135071551956;
1;7;1;0,297830789488661;
1;7;2;0,421227310514649;
1;7;3;0,0374180262616919;
1;7;4;0,166092487129426;
1;7;5;-0,388779701380422;
1;7;6;-0,190761454026569;
1;7;7;0,21772933947748;
1;7;8;-0,00621873583002885;
1;7;9;0,162056574207757;
1;8;0;0,260668689273609;
1;8;1;-0,000717366813084708;
1;8;2;0,193073246252291;
1;8;3;0,32384927120239;
1;8;4;-0,318395530487595;
1;8;5;-0,146041506038067;
1;8;6;0,224618473427658;
1;8;7;-0,187714739790053;
1;8;8;-0,022344526146699;
1;8;9;-0,0425859028671803;
1;9;0;0,0194711820313107;
1;9;1;0,147177211543162;
1;9;2;0,171869935780703;
1;9;3;0,106441937902217;
1;9;4;-0,465339290427668;
1;9;5;-0,0489314142842458;
1;9;6;0,0365529803263736;
1;9;7;0,185054737695053;
1;9;8;0,171382987951573;
1;9;9;-0,0426679405116792;
1;10;0;0,00981423748182794;
1;10;1;-0,000322743319125268;
1;10;2;0,104481904583276;
1;10;3;-0,278014910769656;
1;10;4;-0,0540455456609119;
1;10;5;-0,065371657286478;
1;10;6;-0,0785336837072548;
1;10;7;0,0261327820020414;
1;10;8;-0,0961208937671599;
1;10;9;0,205945387112883;
1;11;0;-0,108647303706336;
1;11;1;-0,366810799514321;
1;11;2;-0,205273308653977;
1;11;3;-0,229264619168483;
1;11;4;-0,224636580666824;
1;11;5;0,0501193180913661;
1;11;6;-0,284951283961977;
1;11;7;0,0186928066046409;
1;11;8;-0,327680168825984;
1;11;9;0,128197005311119;
1;12;0;-0,451517036162092;
1;12;1;-0,221640392542649;
1;12;2;-0,225949901028513;
1;12;3;-0,134451909519011;
1;12;4;0,0596505492272091;
1;12;5;-0,423440410952755;
1;12;6;0,358169960257676;
1;12;7;-0,318823640848893;
1;12;8;-0,191273473525082;
1;12;9;-0,0093264137438156;
1;13;0;-0,368172158425754;
1;13;1;-0,0105316042949127;
1;13;2;0,193395989571417;
1;13;3;-0,280632633380887;
1;13;4;-0,0403806197179391;
1;13;5;-0,0919959603771549;
1;13;6;-0,210009869285864;
1;13;7;-0,109181056082799;
1;13;8;-0,0484773081487405;
1;13;9;0,0535349908999796;
1;14;0;-0,000620217994144273;
1;14;1;-0,244175484750502;
1;14;2;0,0386807352950241;
1;14;3;0,311715246556194;
1;14;4;-0,236074671259185;
1;14;5;-0,324294833617422;
1;14;6;-0,0135663377649926;
1;14;7;-0,0299939783429699;
1;14;8;0,152690181346932;
1;14;9;-0,214987771685695;
1;15;0;0,25564839609696;
1;15;1;-0,0488057071570334;
1;15;2;0,326122297125926;
1;15;3;-0,0520650097411429;
1;15;4;-0,419593636141901;
1;15;5;-0,125022206513687;
1;15;6;0,3449067272455;
1;15;7;0,167962821744365;
1;15;8;0,222702747081734;
1;15;9;-0,102781139362036;
1;16;0;-0,0529774308917008;
1;16;1;0,00136135891143296;
1;16;2;0,305258295640935;
1;16;3;0,0773393912601003;
1;16;4;0,0559960527140629;
1;16;5;-0,409500062190695;
1;16;6;0,307044676415177;
1;16;7;0,228702675890505;
1;16;8;0,281500887256815;
1;16;9;0,176674313459859;
1;17;0;-0,0639536136593454;
1;17;1;-0,221020174548505;
1;17;2;0,0182255837219886;
1;17;3;0,326867355185965;
1;17;4;0,247935302671015;
1;17;5;0,31263426030643;
1;17;6;0,182464793875099;
1;17;7;0,194742696916099;
1;17;8;-0,161279495182112;
1;17;9;-0,162016595090747;
1;18;0;0,131183999186002;
1;18;1;0,233819999608127;
1;18;2;-0,25779830327155;
1;18;3;-0,106754930506812;
1;18;4;0,0116843900232037;
1;18;5;-0,172402324235254;
1;18;6;-0,0849876627721766;
1;18;7;0,0459122166717016;
1;18;8;-0,216440129893106;
1;18;9;0,330832243818246;
1;19;0;-0,0300380317634149;
1;19;1;-0,191198053858801;
1;19;2;0,0373193763835912;
1;19;3;0,00645695091525883;
1;19;4;0,186585937480715;
1;19;5;-0,380290886331485;
1;19;6;-0,104066275574298;
1;19;7;0,162961345241853;
1;19;8;-0,0760124945435731;
1;19;9;0,00351134105749024;
