Layer;Neuron;Weight;Value;
0;0;0;0,0271998321893775;
0;0;1;0,306261135188195;
0;0;2;0,248327814296455;
0;0;3;-0,116464844383561;
0;0;4;-0,307656798966102;
0;0;5;-0,120885949554246;
0;0;6;-0,371647138482996;
0;0;7;0,174501818959253;
0;0;8;0,237587960143547;
0;0;9;-0,236744006124639;
0;0;10;-0,00188205417306343;
0;0;11;-0,00777433364748746;
0;0;12;0,275030382256247;
0;0;13;0,121285116707552;
0;0;14;0,0103033154450734;
0;1;0;-0,253953863852639;
0;1;1;0,215059981047243;
0;1;2;-0,303958700001499;
0;1;3;-0,0756834247112528;
0;1;4;0,0315780071215603;
0;1;5;0,249278049019126;
0;1;6;0,309410146866713;
0;1;7;0,00367105455380675;
0;1;8;0,0991601552452389;
0;1;9;0,068309615661542;
0;1;10;-0,28399690304865;
0;1;11;0,217142434352347;
0;1;12;-0,231156133622106;
0;1;13;-0,240430531800655;
0;1;14;0,209240774006832;
0;2;0;-0,0633411991401946;
0;2;1;-0,265039667636773;
0;2;2;-0,076108600326187;
0;2;3;0,307294309699147;
0;2;4;-0,106327331609049;
0;2;5;0,0638211078301545;
0;2;6;0,293874636137441;
0;2;7;0,301780449046733;
0;2;8;0,0387763642734124;
0;2;9;-0,16411247371012;
0;2;10;0,225019093313314;
0;2;11;-0,0746050014890965;
0;2;12;-0,142412089572486;
0;2;13;0,301023960502415;
0;2;14;0,228972023323466;
0;3;0;-0,2814884804967;
0;3;1;-0,0103942241747361;
0;3;2;0,187495179678492;
0;3;3;-0,117723707824133;
0;3;4;0,277830496974475;
0;3;5;0,319216239127281;
0;3;6;0,249538551732557;
0;3;7;0,107407753277213;
0;3;8;0,327095294711733;
0;3;9;-0,139855809188501;
0;3;10;0,147804180194448;
0;3;11;-0,0160381872891735;
0;3;12;-0,162442709514835;
0;3;13;-0,27589099954973;
0;3;14;0,0840214676560057;
0;4;0;-0,0987663295368386;
0;4;1;0,288504285947354;
0;4;2;-0,263589619657629;
0;4;3;0,191458159681929;
0;4;4;-0,13901750787213;
0;4;5;0,0100833589742741;
0;4;6;-0,318967907939702;
0;4;7;-0,00829254124218015;
