Layer;Neuron;Weight;Value;
0;0;0;0,124435531033372;
0;0;1;-0,0875226179558914;
0;0;2;0,157698691501029;
0;0;3;-0,105103626345278;
0;0;4;0,203373265363585;
0;0;5;0,0366404369670177;
0;0;6;-0,130476249039049;
0;0;7;0,0661048936598912;
0;0;8;0,126250896722142;
0;0;9;0,146453975490344;
0;0;10;0,146632330424386;
0;0;11;-0,291023013916173;
0;0;12;-0,152655201184457;
0;0;13;-0,071131745333346;
0;0;14;-0,00883655654088798;
0;1;0;0,0781680901341606;
0;1;1;-0,109527807128792;
0;1;2;-0,0225934089255145;
0;1;3;-0,0880998284930717;
0;1;4;0,00301270389501607;
0;1;5;-0,136855496306226;
0;1;6;-0,182363090232727;
0;1;7;0,022596987286178;
0;1;8;0,19445538051968;
0;1;9;0,215072321723306;
0;1;10;-0,050878402144401;
0;1;11;-0,0799860342249996;
0;1;12;0,240292963098055;
0;1;13;0,23971593443974;
0;1;14;-0,14706170117118;
0;2;0;-0,0702250810276237;
0;2;1;0,313633085811729;
0;2;2;0,0334884061010319;
0;2;3;-0,0629492801527489;
0;2;4;0,152587080343717;
0;2;5;0,0233896031055863;
0;2;6;0,022105917739738;
0;2;7;-0,161047125787261;
0;2;8;-0,019316267770367;
0;2;9;-0,150182479423406;
0;2;10;0,123004664559238;
0;2;11;0,209864671262218;
0;2;12;0,259655309464428;
0;2;13;-0,0710295499457674;
0;2;14;-0,0368891126172115;
0;3;0;-0,0322553898243812;
0;3;1;0,0729105833642713;
0;3;2;0,232172302691437;
0;3;3;-0,0015238822743253;
0;3;4;-0,0368107884812922;
0;3;5;-0,042183786767969;
0;3;6;0,212737714759276;
0;3;7;-0,0534090576835869;
0;3;8;-0,264118282159233;
0;3;9;0,144690611548435;
0;3;10;0,0275499136858333;
0;3;11;-0,0406597202753336;
0;3;12;0,0655083409940139;
0;3;13;0,0260702864893421;
0;3;14;0,143910270248611;
0;4;0;0,354185498645707;
0;4;1;0,0948533214376892;
0;4;2;0,158174383441007;
0;4;3;-0,139532058959297;
0;4;4;-0,0791233553160118;
0;4;5;0,092761809746069;
0;4;6;-0,122036775092055;
0;4;7;0,0807464541194253;
0;4;8;0,213868529701872;
0;4;9;0,154337469603472;
0;4;10;0,278089479719197;
