Layer;Neuron;Weight;Value;
0;0;0;0,276277878284193;
0;0;1;0,170509903105662;
0;0;2;-0,20832860962755;
0;0;3;-0,145204570166747;
0;0;4;0,207236556866147;
0;0;5;0,18462044294136;
0;0;6;0,445626187903961;
0;0;7;0,41698208816241;
0;0;8;0,0468942195028094;
0;0;9;-0,203851112156619;
0;1;0;0,324132243484621;
0;1;1;0,0374116040757958;
0;1;2;0,343051352547963;
0;1;3;0,366360110174224;
0;1;4;0,393337867143014;
0;1;5;-0,192729947774377;
0;1;6;0,201820091388634;
0;1;7;0,383889399364614;
0;1;8;-0,137899727143821;
0;1;9;-0,371103071901421;
0;2;0;0,154449718477775;
0;2;1;0,240209844179189;
0;2;2;-0,304602623100466;
0;2;3;0,367352101555101;
0;2;4;-0,0961329929873726;
0;2;5;0,370376051714661;
0;2;6;-0,295685003114868;
0;2;7;-0,232225547023568;
0;2;8;0,258647692228414;
0;2;9;-0,502903054694334;
0;3;0;-0,268957239939631;
0;3;1;-0,0638517067728414;
0;3;2;0,087612984358618;
0;3;3;-0,330351763298824;
0;3;4;0,285515022255099;
0;3;5;0,293925994051847;
0;3;6;-0,311410140725566;
0;3;7;-0,312500145171048;
0;3;8;-0,334035626726597;
0;3;9;-0,545240636543519;
0;4;0;-0,415375884264657;
0;4;1;-0,419594878304754;
0;4;2;-0,188182998742088;
0;4;3;-0,471685934243489;
0;4;4;-0,219175733603426;
0;4;5;-0,273258996419431;
0;4;6;0,221308242132187;
0;4;7;0,219153756193879;
0;4;8;-0,100230310379724;
0;4;9;0,0895016711063929;
0;5;0;0,360886329353209;
0;5;1;-0,4454124661554;
0;5;2;0,0796242582163765;
0;5;3;-0,299118653193934;
0;5;4;0,293771346620954;
0;5;5;-0,220846258734881;
0;5;6;-0,415957736062806;
0;5;7;0,129608774135506;
0;5;8;-0,211724576807047;
0;5;9;0,0673816354600455;
0;6;0;0,132613612274064;
0;6;1;-0,26221559532105;
0;6;2;-0,0224331506743543;
0;6;3;-0,125786556306805;
0;6;4;0,285910922753681;
0;6;5;0,0321901287911429;
0;6;6;-0,538529092241251;
0;6;7;0,255856214223846;
0;6;8;-0,466117010098178;
0;6;9;0,339905322561961;
0;7;0;-0,420114451256538;
0;7;1;0,180280768649051;
0;7;2;-0,36849136237345;
0;7;3;0,0535439171247967;
0;7;4;-0,0980122817467012;
0;7;5;0,091526732054699;
0;7;6;-0,524265262916673;
0;7;7;0,0464308297607823;
0;7;8;-0,515726731122147;
0;7;9;0,133609040687786;
0;8;0;-0,0948467834070169;
0;8;1;0,0469639672750103;
0;8;2;0,0747011814341308;
0;8;3;0,153986649438414;
0;8;4;0,0701300800580995;
0;8;5;0,435652255083082;
0;8;6;0,530006797293866;
0;8;7;-0,305389762005935;
0;8;8;0,0909749153325523;
0;8;9;0,31756446590617;
0;9;0;-0,420694411849325;
0;9;1;-0,0672216128104136;
0;9;2;-0,486516166599294;
0;9;3;0,0215734788715096;
0;9;4;0,400438090768819;
0;9;5;-0,0494717431898069;
0;9;6;-0,309465098779949;
0;9;7;0,228387572074697;
0;9;8;0,171549121311787;
0;9;9;0,0155462346061947;
0;10;0;-0,369295041545851;
0;10;1;0,393705489770034;
0;10;2;0,417419423472914;
0;10;3;-0,486061805859806;
0;10;4;-0,219878075378234;
0;10;5;0,342766157822248;
0;10;6;-0,0520233707155747;
0;10;7;0,137573085532672;
0;10;8;0,21782971986563;
0;10;9;0,0602177370891558;
