Layer;Neuron;Weight;Value;
0;0;0;0,117521453287407;
0;0;1;-0,238739530862703;
0;0;2;-0,180657984959226;
0;0;3;0,0608583413677853;
0;0;4;0,18812971056146;
0;0;5;-0,141231046766589;
0;0;6;0,032464203789882;
0;0;7;0,0420927328734708;
0;0;8;-0,0947570684248663;
0;0;9;-0,0355990232684322;
0;0;10;-0,270804685632071;
0;0;11;-0,170818399821401;
0;0;12;-0,0178663401084874;
0;0;13;0,111493074816324;
0;0;14;-0,00705274291527758;
0;1;0;-0,0522162480680056;
0;1;1;-0,0432840526512498;
0;1;2;0,279433514060061;
0;1;3;-0,156364119628786;
0;1;4;0,178355814330903;
0;1;5;0,0969763202115026;
0;1;6;0,0293452789489207;
0;1;7;0,0586549762192385;
0;1;8;-0,0150786582496712;
0;1;9;0,000180779248250773;
0;1;10;-0,260571507689776;
0;1;11;0,143796264090018;
0;1;12;0,171699309815019;
0;1;13;-0,193506699374648;
0;1;14;-0,0778809457113413;
0;2;0;-0,0702746140157014;
0;2;1;-0,00627458136486804;
0;2;2;0,13356833213358;
0;2;3;0,286390394094191;
0;2;4;-0,20226147965479;
0;2;5;0,0435328365911965;
0;2;6;0,179645817693743;
0;2;7;-0,0570701729987915;
0;2;8;0,0919030577436013;
0;2;9;-0,00981378648470464;
0;2;10;-0,122973070490423;
0;2;11;0,0750529517871469;
0;2;12;-0,00272012977474498;
0;2;13;0,166333917156624;
0;2;14;-0,149201260748237;
0;3;0;-0,10528186574084;
0;3;1;0,0552109738257016;
0;3;2;0,0433255149411917;
0;3;3;0,163805755747697;
0;3;4;0,220034147783586;
0;3;5;-0,244497489831818;
0;3;6;0,0235533175237798;
0;3;7;-0,0157892241362027;
0;3;8;-0,258756010303203;
0;3;9;0,107877601003938;
0;3;10;0,0950172402804538;
0;3;11;0,142768253337347;
0;3;12;0,134039006372541;
0;3;13;0,227660735165259;
0;3;14;0,216557870792089;
0;4;0;0,00729714197592162;
0;4;1;-0,174342678252835;
0;4;2;-0,0501289204649728;
0;4;3;0,0627499320689391;
0;4;4;0,0520543457894464;
0;4;5;0,0921749266605461;
0;4;6;0,053201298835674;
0;4;7;-0,043692214620483;
0;4;8;0,123747252315853;
0;4;9;-0,0759737980798601;
0;4;10;0,0679477794675758;
0;4;11;-0,158301005918838;
0;4;12;0,204007811882634;
0;4;13;0,0374400893935392;
0;4;14;0,00863102561416335;
0;5;0;0,141719160202654;
0;5;1;-0,225573404091223;
0;5;2;0,282864564899656;
0;5;3;0,0973297452888087;
0;5;4;0,117464200864595;
0;5;5;0,0957323925360759;
0;5;6;-0,325001677452464;
0;5;7;-0,155343440395384;
0;5;8;-0,02271010321612;
0;5;9;0,0952095863698547;
0;5;10;0,171341186728554;
0;5;11;0,0434576736572842;
0;5;12;0,273275913946659;
0;5;13;0,0121251698616327;
0;5;14;0,199926045435575;
0;6;0;0,0857979277852057;
0;6;1;0,125379864542534;
0;6;2;0,0216104418600284;
0;6;3;-0,144200039155432;
0;6;4;0,182137301375162;
0;6;5;-0,145743709640408;
0;6;6;-0,0620761738413566;
0;6;7;-0,223943954294361;
0;6;8;-0,317898095901594;
0;6;9;0,114770180594425;
0;6;10;0,0555941075503095;
0;6;11;-0,0410889903640942;
0;6;12;-0,000531461764598631;
0;6;13;0,146067451862149;
0;6;14;0,117671801039188;
0;7;0;0,0793871601229201;
0;7;1;-0,101166168967583;
0;7;2;0,0633863886898853;
0;7;3;0,0127581761339188;
0;7;4;0,351008678871926;
0;7;5;0,144342257702224;
0;7;6;-0,0195733767533817;
0;7;7;-0,0505067025374617;
0;7;8;-0,242811350805983;
0;7;9;0,0718557110111234;
0;7;10;0,0765622399567737;
0;7;11;-0,0569086419411395;
0;7;12;-0,0517283327247568;
0;7;13;0,0761801710421326;
0;7;14;0,0391660067860495;
0;8;0;0,069640701834868;
0;8;1;-0,129044395878064;
0;8;2;0,0845943175801888;
0;8;3;-0,278785911513482;
0;8;4;-0,0497133534439875;
0;8;5;0,198412377558964;
0;8;6;-0,0108551158762865;
0;8;7;-0,0699819381325881;
0;8;8;-0,163440667243658;
0;8;9;0,180247747804632;
0;8;10;0,0574228593336451;
0;8;11;0,348827145983546;
0;8;12;0,0500018631221745;
0;8;13;0,0608122655713264;
0;8;14;-0,12972254575729;
0;9;0;0,313402783375947;
0;9;1;0,093740673497417;
0;9;2;-0,0627401105715185;
0;9;3;0,00244906667852268;
0;9;4;-0,00578445652993111;
0;9;5;-0,157349460238691;
0;9;6;-0,0964672478420759;
0;9;7;-0,0576739002991611;
0;9;8;0,171505151799588;
0;9;9;-0,268147060487656;
0;9;10;0,0688907428380294;
0;9;11;-0,243053736850901;
0;9;12;0,104756885794686;
0;9;13;0,00188599533086102;
0;9;14;0,173086013044308;
0;10;0;0,112646569744855;
0;10;1;-0,0743500678560853;
0;10;2;-0,142240332655438;
0;10;3;0,116867290446074;
0;10;4;0,0648953631422121;
0;10;5;0,0490480373861787;
0;10;6;0,0776048590586908;
0;10;7;0,227897514973374;
0;10;8;0,257042125008813;
0;10;9;0,0688950758657216;
0;10;10;-0,187821213576785;
0;10;11;-0,202274185110876;
0;10;12;-0,281287713776726;
0;10;13;-0,027221264816888;
0;10;14;-0,117125279988493;
0;11;0;0,208573888655367;
0;11;1;-0,0639009343972507;
0;11;2;-0,0254437502608902;
0;11;3;0,200560298344414;
0;11;4;-0,260457478691187;
0;11;5;0,0390792260265196;
0;11;6;-0,190002288390974;
0;11;7;-0,0827469122846419;
0;11;8;0,0109995392977819;
0;11;9;-0,19595270192561;
0;11;10;-0,0651619506841838;
0;11;11;0,244886587267643;
0;11;12;-0,223051724537054;
0;11;13;-0,0903149905901183;
0;11;14;-0,162525586041725;
0;12;0;0,0400010388592216;
0;12;1;-0,209883706766324;
0;12;2;-0,0952628695690848;
0;12;3;0,0845495062848806;
0;12;4;0,204815186385321;
0;12;5;-0,251151192362814;
0;12;6;0,123329833596075;
0;12;7;-0,110822838419994;
0;12;8;-0,00697381531929496;
0;12;9;-0,251125502084029;
0;12;10;0,0959462182285204;
0;12;11;-0,0951681672032611;
0;12;12;0,0067139241553147;
0;12;13;0,0681262887729707;
0;12;14;-0,106174877601858;
0;13;0;-0,12200820031873;
0;13;1;-0,00224708780602664;
0;13;2;-0,102310152688314;
0;13;3;0,205035696336802;
0;13;4;-0,0168083570091629;
0;13;5;0,325609652568759;
0;13;6;-0,101511636560225;
0;13;7;0,0995406350870305;
0;13;8;0,137885026576151;
0;13;9;-0,0218733313121293;
0;13;10;-0,219449494193855;
0;13;11;0,252180397372521;
0;13;12;-0,214971409897797;
0;13;13;-0,156663706067515;
0;13;14;0,100940104959651;
0;14;0;-0,141632451847159;
0;14;1;-0,0426211778861564;
0;14;2;-0,216057191523332;
0;14;3;-0,0320517169229465;
0;14;4;0,102349454040993;
0;14;5;-0,248617088835122;
0;14;6;0,186138296665064;
0;14;7;0,134629518782028;
0;14;8;0,16637041371579;
0;14;9;0,054754253986522;
0;14;10;0,176306478712097;
0;14;11;-0,0416428326222949;
0;14;12;-0,117313589685666;
0;14;13;-0,146532543729776;
0;14;14;-0,146802356123951;
1;0;0;0,111485046153648;
1;0;1;0,342956928230336;
1;0;2;0,161137570702069;
1;0;3;0,09931222400596;
1;0;4;0,0812250718386961;
1;0;5;0,387421375320955;
1;0;6;-0,244978572356039;
1;0;7;0,188255072659;
1;0;8;-0,316587048031663;
1;0;9;0,12329577474077;
1;0;10;-0,202638907685242;
1;0;11;0,120508260848237;
1;0;12;-0,00385197671309673;
1;0;13;-0,34380814565523;
1;0;14;0,0179290226744158;
1;1;0;0,207414550104837;
1;1;1;-0,291124384752998;
1;1;2;-0,264737425728113;
1;1;3;0,0686781262367396;
1;1;4;-0,393617080475025;
1;1;5;0,199674478359369;
1;1;6;0,245692806199981;
1;1;7;-0,159488791441307;
1;1;8;-0,0620310106603573;
1;1;9;-0,338360113016497;
1;1;10;0,0162485421245212;
1;1;11;0,178849762388901;
1;1;12;0,110852322592797;
1;1;13;-0,0401003470365425;
1;1;14;0,405823385764762;
1;2;0;-0,042152834842984;
1;2;1;0,0949067383049553;
1;2;2;0,0532548730509611;
1;2;3;-0,206446111996866;
1;2;4;0,0594828764719343;
1;2;5;0,323835042223257;
1;2;6;-0,363545241702136;
1;2;7;-0,0669925639252144;
1;2;8;0,246140407978622;
1;2;9;-0,0133646598613656;
1;2;10;-0,201563924644871;
1;2;11;0,216393423833136;
1;2;12;0,30755224745141;
1;2;13;0,121163908448612;
1;2;14;-0,231708747675507;
1;3;0;-0,301078222832213;
1;3;1;-0,319026857297414;
1;3;2;-0,350270302663683;
1;3;3;-0,25696368783571;
1;3;4;0,270667023849984;
1;3;5;-0,141273572873917;
1;3;6;-0,160772117860975;
1;3;7;-0,0881894322057205;
1;3;8;0,0972641220303551;
1;3;9;-0,179373637856624;
1;3;10;-0,338656765333683;
1;3;11;0,419585184855193;
1;3;12;-0,128827166803566;
1;3;13;0,0761716652550603;
1;3;14;0,0774027500662034;
1;4;0;0,217472388976008;
1;4;1;0,24652385141073;
1;4;2;0,162661095691221;
1;4;3;-0,098758715018052;
1;4;4;-0,397063018706191;
1;4;5;0,224375134671282;
1;4;6;0,0618036440861428;
1;4;7;-0,11642049211842;
1;4;8;-0,427579143050862;
1;4;9;0,302255138197101;
1;4;10;-0,177462281741883;
1;4;11;0,11974757938634;
1;4;12;-0,0987615969957605;
1;4;13;-0,470700617633155;
1;4;14;0,0329589611072833;
1;5;0;0,393348634659009;
1;5;1;0,335462729369971;
1;5;2;-0,020072014778886;
1;5;3;-0,0701208201097887;
1;5;4;-0,189830044372859;
1;5;5;0,162787073600472;
1;5;6;0,280170217054044;
1;5;7;0,0991207380309332;
1;5;8;-0,24432114383407;
1;5;9;0,141444305256682;
1;5;10;0,196289765972779;
1;5;11;-0,261143485671442;
1;5;12;0,16249180755694;
1;5;13;-0,28313042655733;
1;5;14;-0,438165397121648;
1;6;0;-0,090767409927569;
1;6;1;0,0749227763502499;
1;6;2;-0,0010789651428717;
1;6;3;0,0610283960406801;
1;6;4;-0,0414971872426091;
1;6;5;-0,132950032657455;
1;6;6;0,0778488314607408;
1;6;7;-0,0254533575034949;
1;6;8;0,119169498616443;
1;6;9;0,266150189454737;
1;6;10;0,170615455215152;
1;6;11;-0,0315881143471171;
1;6;12;0,0361887088679656;
1;6;13;0,219480302752685;
1;6;14;0,01057216479004;
1;7;0;-0,212332598963907;
1;7;1;0,344538153775287;
1;7;2;0,0262365501961841;
1;7;3;0,0357101038264623;
1;7;4;0,0962436800339463;
1;7;5;-0,352476429824008;
1;7;6;-0,0866566566222611;
1;7;7;-0,445314684624465;
1;7;8;-0,0336463656433142;
1;7;9;-0,436459642339712;
1;7;10;0,145562428816018;
1;7;11;-0,0385073239628726;
1;7;12;0,0280853686985026;
1;7;13;-0,177052870242415;
1;7;14;0,22108770032464;
1;8;0;0,240420535318749;
1;8;1;-0,347431024465445;
1;8;2;0,210514989313909;
1;8;3;0,32631562665399;
1;8;4;-0,469621652490283;
1;8;5;-0,0280694349333968;
1;8;6;0,358302268133639;
1;8;7;0,0262986673164641;
1;8;8;0,257613897909231;
1;8;9;0,00538134272460891;
1;8;10;-0,189290318726231;
1;8;11;0,0440197661724034;
1;8;12;-0,00782838161467966;
1;8;13;0,311758331401161;
1;8;14;0,0629320291629676;
1;9;0;0,130872140466642;
1;9;1;0,128325026309269;
1;9;2;-0,0488108867075345;
1;9;3;0,317953653781653;
1;9;4;-0,309366976753514;
1;9;5;0,0261244990518897;
1;9;6;0,0737250626896159;
1;9;7;-0,238290980103561;
1;9;8;0,161579432972511;
1;9;9;0,444235719481593;
1;9;10;0,0946747616839943;
1;9;11;-0,105037544902897;
1;9;12;-0,278512461473473;
1;9;13;-0,383643844576387;
1;9;14;-0,0535387262019975;
1;10;0;0,0450624891300977;
1;10;1;-0,184935828291316;
1;10;2;0,227991350334134;
1;10;3;-0,116380266666589;
1;10;4;0,00896531343877566;
1;10;5;-0,31574346186395;
1;10;6;0,0375863921537932;
1;10;7;-0,184263164030511;
1;10;8;-0,0137641143583526;
1;10;9;-6,21171202799808E-05;
1;10;10;0,278096205917232;
1;10;11;0,0908623373093374;
1;10;12;0,336813888902224;
1;10;13;-0,130676422794664;
1;10;14;0,0625136969902151;
1;11;0;0,000608328497320593;
1;11;1;0,109363875402773;
1;11;2;-0,169379464429514;
1;11;3;-0,100239657610766;
1;11;4;-0,128241983534881;
1;11;5;-0,0968659534570137;
1;11;6;0,164918260259981;
1;11;7;-0,28570396373314;
1;11;8;0,0788439128449391;
1;11;9;-0,0511940305825295;
1;11;10;0,164736193681479;
1;11;11;-0,413857371971876;
1;11;12;-0,122744196617391;
1;11;13;-0,0366601869634633;
1;11;14;-0,195188871210063;
1;12;0;0,0589200689266063;
1;12;1;0,0144873124149103;
1;12;2;-0,00104272295769431;
1;12;3;0,177107446676636;
1;12;4;0,0837669810670274;
1;12;5;-0,320687704170443;
1;12;6;0,0272332399744695;
1;12;7;-0,0533843976694086;
1;12;8;0,0907386341554758;
