Layer;Neuron;Weight;Value;
0;0;0;0,156456123263201;
0;0;1;0,0380182481857305;
0;0;2;0,101429587375645;
0;0;3;0,202358583243628;
0;0;4;0,126562397637197;
0;0;5;0,182266690992511;
0;0;6;0,115584624558993;
0;0;7;0,117010325504068;
0;0;8;-0,00651985494277038;
0;0;9;0,18597751065988;
0;0;10;-0,178801285505304;
0;0;11;-0,110275815061628;
0;0;12;0,215133239029449;
0;0;13;-0,15063209143701;
0;0;14;0,178576871306247;
0;0;15;-0,167661560980408;
0;0;16;-0,109468944142818;
0;0;17;0,153582728892743;
0;0;18;0,180191894759766;
0;0;19;0,038699738493739;
0;0;20;-0,0120543222453444;
0;0;21;-0,151637265071458;
0;0;22;0,0155915823295868;
0;0;23;-0,147018533254511;
0;0;24;0,0789536988965576;
0;0;25;-0,0829700037128783;
0;0;26;0,19769981907544;
0;0;27;0,173240451366593;
0;0;28;0,0411127155367018;
0;0;29;-0,196727091208387;
0;1;0;-0,0794475032906225;
0;1;1;-0,125430100292378;
0;1;2;-0,229333569830641;
0;1;3;0,213416517634704;
0;1;4;0,147748347842767;
0;1;5;0,0399951166549517;
0;1;6;0,0652495517058091;
0;1;7;-0,049001502511925;
0;1;8;-0,0795351787770418;
0;1;9;0,201296634485369;
0;1;10;0,104761866384058;
0;1;11;-0,126038091432097;
0;1;12;-0,20726168599216;
0;1;13;-0,038256269121404;
0;1;14;0,1393879908827;
0;1;15;0,0642837815422639;
0;1;16;0,211356194121732;
0;1;17;0,025252248868878;
0;1;18;-0,0387081841160179;
0;1;19;-0,185133669684868;
0;1;20;-0,170867203820215;
0;1;21;0,0618336117866498;
0;1;22;0,0200213325891109;
0;1;23;-0,185617101402598;
0;1;24;0,108583898923543;
0;1;25;-0,232264146472444;
0;1;26;0,0374171465002573;
0;1;27;-0,111780289964481;
0;1;28;-0,00901579723470043;
0;1;29;0,24060860346667;
0;2;0;-0,155264188125374;
0;2;1;-0,0295607550381373;
0;2;2;-0,17497341583106;
0;2;3;0,115325904428874;
0;2;4;0,233061230495721;
0;2;5;0,209213643825867;
0;2;6;-0,123613492378353;
0;2;7;-0,178521747486227;
0;2;8;0,0174924120548632;
0;2;9;0,0582097779649465;
0;2;10;-0,0246738700231985;
0;2;11;0,032728741338482;
0;2;12;0,0957601960862468;
0;2;13;0,128917911956084;
0;2;14;0,188137431199713;
0;2;15;-0,0305597366833844;
0;2;16;0,112312949162138;
0;2;17;0,197084195186922;
0;2;18;0,0882400953054001;
0;2;19;-0,216116507672266;
0;2;20;-0,0714922859242429;
0;2;21;-0,157841101490541;
0;2;22;0,193018361058971;
0;2;23;0,0595131737841969;
0;2;24;0,108516003486306;
0;2;25;0,104672455298926;
0;2;26;0,198435870121379;
0;2;27;-0,142108539767127;
0;2;28;0,111509328638974;
0;2;29;-0,236350918300727;
0;3;0;0,193398740867425;
0;3;1;-0,053966641836022;
0;3;2;-0,218932710211937;
0;3;3;0,0125408460949162;
0;3;4;0,145738510792192;
0;3;5;0,213329795997832;
0;3;6;0,0844417257937355;
0;3;7;0,128500320683076;
0;3;8;0,0850334712269528;
0;3;9;0,0763363735850634;
0;3;10;-0,0353810108871186;
0;3;11;0,177768723064317;
0;3;12;0,00947456744129822;
0;3;13;0,10147496437834;
