Layer;Neuron;Weight;Value;
0;0;0;0,258141947642706;
0;0;1;0,215671295672832;
0;0;2;-0,0727170782321032;
0;0;3;-0,200788222500524;
0;0;4;-0,025065383861312;
0;0;5;0,14225925254998;
0;0;6;0,123335914657944;
0;0;7;0,0504205594786406;
0;0;8;-0,078757728589301;
0;0;9;-0,146840091602761;
0;0;10;0,251068243230935;
0;0;11;-0,227811512027213;
0;0;12;-0,237660108157735;
0;0;13;-0,0794156876784183;
0;0;14;-0,0719830229641284;
0;0;15;-0,00681960054739277;
0;0;16;0,263129887325082;
0;0;17;0,260939908434344;
0;0;18;0,00256890133685667;
0;0;19;0,26652157075509;
0;1;0;0,0361875387199035;
0;1;1;0,123835310263994;
0;1;2;0,0529918079078943;
0;1;3;-0,188675722972933;
0;1;4;0,220130175048919;
0;1;5;0,163149639618805;
0;1;6;0,0429303888971494;
0;1;7;0,279767251935641;
0;1;8;0,0549392708655035;
0;1;9;-0,130635858832073;
0;1;10;0,0381353756441282;
0;1;11;0,000459586471808247;
0;1;12;0,137816549921312;
0;1;13;0,195703868155573;
0;1;14;0,188998067023939;
0;1;15;-0,255935216056489;
0;1;16;0,242135888932575;
0;1;17;0,256157203704154;
0;1;18;0,0794544806693552;
0;1;19;-0,233601325041129;
0;2;0;0,251561748124187;
0;2;1;0,204991354374728;
0;2;2;-0,0800670391166477;
0;2;3;0,0151832210076968;
0;2;4;0,0232489733153418;
0;2;5;0,20542859583116;
0;2;6;-0,132748437034016;
0;2;7;0,176387921890565;
0;2;8;-0,0657962847361607;
0;2;9;0,256383443970319;
0;2;10;-0,0654853141493363;
0;2;11;-0,22183766636403;
0;2;12;-0,258604069344275;
0;2;13;-0,058885864264034;
0;2;14;-0,179658435496102;
0;2;15;0,14842295944261;
0;2;16;0,253640934132651;
0;2;17;0,0376335530253225;
0;2;18;0,245952790624145;
0;2;19;-0,190385533458919;
0;3;0;0,163784635196445;
0;3;1;0,290292970145051;
0;3;2;-0,0781322192311849;
0;3;3;0,0616391999478779;
0;3;4;-0,097008615863692;
0;3;5;0,0113829112438704;
0;3;6;0,0266303608071058;
0;3;7;-0,0395384407988605;
0;3;8;-0,284952049732809;
0;3;9;-0,302425148453678;
0;3;10;0,225131554494666;
0;3;11;0,231375227801756;
0;3;12;0,0665798457173356;
0;3;13;0,0547741598690607;
0;3;14;0,203320031149746;
0;3;15;-0,157873496427018;
0;3;16;0,0870233395002048;
0;3;17;-0,0977684800121085;
0;3;18;0,245178316274052;
0;3;19;-0,107523351158202;
0;4;0;-0,168860880665139;
0;4;1;-0,127955059898998;
0;4;2;-0,186956386445495;
0;4;3;-0,0487998621765663;
0;4;4;0,138063611671757;
0;4;5;-0,0281054534272436;
0;4;6;0,102258184951446;
0;4;7;-0,137383529493911;
0;4;8;0,268739697637025;
0;4;9;-0,0741212772078029;
0;4;10;0,105729504312883;
0;4;11;0,27177324533904;
0;4;12;-0,146465688128928;
0;4;13;-0,175925796906637;
0;4;14;0,250618085520169;
0;4;15;0,287175254623078;
0;4;16;0,258632683895006;
0;4;17;-0,180242283690573;
0;4;18;-0,0791116173277532;
0;4;19;0,124580863258528;
0;5;0;-0,101829655623503;
0;5;1;0,299223805954665;
0;5;2;0,00694681403006738;
0;5;3;-0,185393290913555;
0;5;4;-0,0603902288758804;
0;5;5;0,189218974631405;
0;5;6;-0,106505364867316;
0;5;7;0,0228262352006094;
0;5;8;-0,102781784179998;
0;5;9;-0,170473493800004;
0;5;10;-0,273855042097882;
0;5;11;0,198999754640833;
0;5;12;-0,0365421688286905;
0;5;13;0,0288262862872286;
0;5;14;0,115606293613529;
0;5;15;-0,199954343030112;
0;5;16;-0,20122472508114;
0;5;17;0,0717276777643744;
0;5;18;-0,274306853998983;
0;5;19;0,235735504174803;
0;6;0;-0,269653484988596;
0;6;1;0,0871529618238483;
0;6;2;-0,204725764444497;
0;6;3;0,281137666653818;
0;6;4;-0,0986348015835528;
0;6;5;-0,0790348660927825;
0;6;6;0,274201933082776;
0;6;7;-0,153468542427562;
0;6;8;0,140615304591041;
0;6;9;-0,238013001203564;
0;6;10;0,0192567923099124;
0;6;11;0,0786667959934331;
0;6;12;0,171878375280373;
0;6;13;0,252290622729215;
0;6;14;-0,123273014961969;
0;6;15;0,11845365321831;
0;6;16;-0,189651578602731;
0;6;17;-0,115991586524242;
0;6;18;0,101402152037822;
0;6;19;-0,106875332984618;
0;7;0;0,0748838257252909;
0;7;1;-0,243781900644931;
0;7;2;0,0756760618719483;
0;7;3;-0,252557118684604;
0;7;4;0,218007987244201;
0;7;5;0,112569450204535;
0;7;6;-0,18535461589492;
0;7;7;0,202563703697046;
0;7;8;0,171249106827583;
0;7;9;0,0605797587977317;
0;7;10;-0,135642458818551;
0;7;11;0,230042014109774;
0;7;12;-0,184398294170383;
0;7;13;-0,17533753297415;
0;7;14;-0,108839596722288;
0;7;15;-0,123983753688984;
0;7;16;-0,151629721951846;
0;7;17;-0,308809632875561;
0;7;18;-0,0556064074232451;
0;7;19;-0,0578696658678678;
0;8;0;0,108750990463893;
0;8;1;-0,358906019040068;
