Отбор...;
1;50,96014394
2;48,19957674
3;48,2918005
4;46,64485243
5;48,75198156
6;52,57755776
7;48,08277619
8;52,67932397
9;49,7009884
10;49,292263
11;49,4186219
12;46,45195128
13;53,16463886
14;52,14859414
15;50,19773026
16;47,54554658
17;48,18764181
18;48,8304606
19;51,59677399
20;51,24014018
21;50,20502284
22;50,86298919
23;46,04340756
24;52,16385924
25;48,8481233
26;49,89681116
27;50,10768235
28;46,89657601
29;50,9120773
30;45,77141274
31;51,41716313
32;49,32938299
33;50,06119428
34;49,69379408
35;47,50732626
36;52,01790737
37;49,15936536
38;50,80108464
39;53,08666125
40;48,83006231
41;50,28102541
42;49,15936822
43;51,84086057
44;52,55668605
45;47,75292493
46;49,51670128
47;49,26697091
48;44,91396508
49;52,14516278
50;48,77305164
51;47,4600775
52;47,31495221
53;51,94835018
54;51,68624119
55;49,77060068
56;46,89124469
57;48,87496627
58;49,03432141
59;49,56264115
60;50,89750378
61;48,28331921
62;47,15067275
63;49,8105754
64;47,41963532
65;49,78601596
66;47,73663704
67;49,27156486
68;46,57736817
69;48,25965197
70;49,09575959
71;48,65669192
72;47,76925407
73;48,06241557
74;51,91313533
75;52,27134389
76;50,80235593
77;50,64188709
78;52,06127675
79;48,13604246
80;54,36450321
81;52,26707017
82;50,40572142
83;49,82338862
84;46,4864192
85;51,12277193
86;50,33548302
87;52,01925706
88;50,72846378
89;50,39036486
90;50,63532778
91;51,46660087
92;51,10332879
93;50,07303593
94;53,08583009
95;47,91179524
96;48,16939074
97;50,14180301
98;52,06354107
99;47,30943242
100;49,04514391
== 100;
Скрещивание...;
101;48,04345077
102;50,78272287
103;49,92999968
104;51,60876956
105;47,10712605
106;48,9956057
107;51,39504146
108;49,29200934
109;48,35084001
110;49,64406896
111;50,23366226
112;47,08693646
113;51,15485649
114;48,97105968
115;50,61397512
116;50,79445121
117;48,22110146
118;51,11291046
119;52,13948152
120;50,45558949
121;50,61890847
122;51,08419087
123;49,68214572
124;48,30934436
125;50,28490086
