1 0,001 0
1,1 0,002 0
1,2 0,003 0
1,3 0,004 0
1,4 0,005 0
1,5 0,006 0
1,6 0,007 0
1,7 0,008 0
1,8 0,009 0
1,9 0,01 0
2 0,011 0
2,1 0,012 0
2,2 0,013 0
2,3 0,014 0
2,4 0,015 0
2,5 0,016 0
2,6 0,017 0
2,7 0,018 0
2,8 0,019 0
2,9 0,02 0
3 0,021 0
3,1 0,022 0
3,2 0,023 0
3,3 0,024 0
3,4 0,025 0
3,5 0,026 0
3,6 0,027 0
3,7 0,028 0
3,8 0,029 0
3,9 0,03 0
4 0,031 0
4,1 0,032 0
4,2 0,033 0
4,3 0,034 0
4,4 0,035 0
4,5 0,036 0
4,6 0,037 0
4,7 0,038 0
4,8 0,039 0
4,9 0,04 0
5 0,041 0
5,1 0,042 0
5,2 0,043 0
5,3 0,044 0
5,4 0,045 0
5,5 0,046 0
5,6 0,047 0
5,7 0,048 0
5,8 0,049 0
5,9 0,05 0
6 0,051 0
6,1 0,052 0
6,2 0,053 0
6,3 0,054 0
6,4 0,055 0
6,5 0,056 0
6,6 0,057 0
6,7 0,058 0
6,8 0,059 0
6,9 0,06 0
7 0,061 0
7,1 0,062 0
7,2 0,063 0
7,3 0,064 0
7,4 0,065 0
7,5 0,066 0
7,6 0,067 0
7,7 0,068 0
7,8 0,069 0
7,9 0,07 0
8 0,071 0
8,1 0,072 0
8,2 0,073 0
8,3 0,074 0
8,4 0,075 0
8,5 0,076 0
8,6 0,077 0
8,7 0,078 0
8,8 0,079 0
8,9 0,08 0
9 0,081 0
9,1 0,082 0
9,2 0,083 0
9,3 0,084 0
9,4 0,085 0
9,5 0,086 0
9,6 0,087 0
9,7 0,088 0
9,8 0,089 0
9,9 0,09 0
10 0,091 0
10,1 0,092 0
10,2 0,093 0
10,3 0,094 0
10,4 0,095 0
10,5 0,096 0
10,6 0,097 0
10,7 0,098 0
10,8 0,099 0
10,9 0,1 0
11 0,101 0
11,1 0,102 0
11,2 0,103 0
11,3 0,104 0
11,4 0,105 0
11,5 0,106 0
11,6 0,107 0
11,7 0,108 0
11,8 0,109 0
11,9 0,11 0
12 0,111 0
12,1 0,112 0
12,2 0,113 0
12,3 0,114 0
12,4 0,115 0
12,5 0,116 0
12,6 0,117 0
12,7 0,118 0
12,8 0,119 0
12,9 0,12 0
13 0,121 0
13,1 0,122 0
13,2 0,123 0
13,3 0,124 0
13,4 0,125 0
13,5 0,126 0
13,6 0,127 0
13,7 0,128 0
13,8 0,129 0
13,9 0,13 0
14 0,131 0
14,1 0,132 0
14,2 0,133 0
14,3 0,134 0
14,4 0,135 0
14,5 0,136 0
14,6 0,137 0
14,7 0,138 0
14,8 0,139 0
14,9 0,14 0
15 0,141 0
15,1 0,142 0
15,2 0,143 0
15,3 0,144 0
15,4 0,145 0
15,5 0,146 0
15,6 0,147 0
15,7 0,148 0
15,8 0,149 0
15,9 0,15 0
16 0,151 0
16,1 0,152 0
16,2 0,153 0
16,3 0,154 0
16,4 0,155 0
16,5 0,156 0
16,6 0,157 0
16,7 0,158 0
16,8 0,159 0
16,9 0,16 0
17 0,161 0
17,1 0,162 0
17,2 0,163 0
17,3 0,164 0
17,4 0,165 0
17,5 0,166 0
17,6 0,167 0
17,7 0,168 0
17,8 0,169 0
17,9 0,17 0
18 0,171 0
18,1 0,172 0
18,2 0,173 0
18,3 0,174 0
18,4 0,175 0
18,5 0,176 0
18,6 0,177 0
18,7 0,178 0
18,8 0,179 0
18,9 0,18 0
19 0,181 0
19,1 0,182 0
19,2 0,183 0
19,3 0,184 0
19,4 0,185 0
19,5 0,186 0
19,6 0,187 0
19,7 0,188 0
19,8 0,189 0
19,9 0,19 0
20 0,191 0
20,1 0,192 0
20,2 0,193 0
20,3 0,194 0
20,4 0,195 0
20,5 0,196 0
20,6 0,197 0
20,7 0,198 0
20,8 0,199 0
20,9 0,2 0
21 0,201 0
21,1 0,202 0
21,2 0,203 0
21,3 0,204 0
21,4 0,205 0
21,5 0,206 0
21,6 0,207 0
21,7 0,208 0
21,8 0,209 0
21,9 0,21 0
22 0,211 0
22,1 0,212 0
22,2 0,213 0
22,3 0,214 0
22,4 0,215 0
22,5 0,216 0
22,6 0,217 0
22,7 0,218 0
22,8 0,219 0
22,9 0,22 0
23 0,221 0
23,1 0,222 0
23,2 0,223 0
23,3 0,224 0
23,4 0,225 0
23,5 0,226 0
23,6 0,227 0
23,7 0,228 0
23,8 0,229 0
23,9 0,23 0
24 0,231 0
24,1 0,232 0
24,2 0,233 0
24,3 0,234 0
24,4 0,235 0
24,5 0,236 0
24,6 0,237 0
24,7 0,238 0
24,8 0,239 0
24,9 0,24 0
25 0,241 0
25,1 0,242 0
25,2 0,243 0
25,3 0,244 0
25,4 0,245 0
25,5 0,246 0
25,6 0,247 0
25,7 0,248 0
25,8 0,249 0
25,9 0,25 0
26 0,251 0
26,1 0,252 0
26,2 0,253 0
26,3 0,254 0
26,4 0,255 0
26,5 0,256 0
26,6 0,257 0
26,7 0,258 0
26,8 0,259 0
26,9 0,26 0
27 0,261 0
27,1 0,262 0
27,2 0,263 0
27,3 0,264 0
27,4 0,265 0
27,5 0,266 0
27,6 0,267 0
27,7 0,268 0
27,8 0,269 0
27,9 0,27 0
28 0,271 0
28,1 0,272 0
28,2 0,273 0
28,3 0,274 0
28,4 0,275 0
28,5 0,276 0
28,6 0,277 0
28,7 0,278 0
28,8 0,279 0
28,9 0,28 0
29 0,281 0
29,1 0,282 0
29,2 0,283 0
